FECHA;T. Máxima;T.Mínima
01/01/2020;12.5;-2.4
02/01/2020;13.4;-3.4
03/01/2020;6.8;-2.1
04/01/2020;13.1;-1.4
05/01/2020;11.7;-4.1
06/01/2020;13.6;-3.1
07/01/2020;13.8;-4.1
08/01/2020;16.4;-3.2
09/01/2020;14.0;-1.5
10/01/2020;12.7;-2.5
11/01/2020;11.8;-3.3
12/01/2020;10.9;-5.2
13/01/2020;10.6;-4.1
14/01/2020;11.6;-3.3
15/01/2020;11.0;0.5
16/01/2020;16.2;5.7
17/01/2020;13.3;1.6
18/01/2020;11.2;4.2
19/01/2020;9.6;2.0
20/01/2020;7.9;2.8
21/01/2020;8.8;3.8
22/01/2020;12.3;1.9
23/01/2020;12.4;-0.7
24/01/2020;10.4;5.5
25/01/2020;10.5;5.9
26/01/2020;12.3;0.8
27/01/2020;11.7;0.0
28/01/2020;13.9;8.6
29/01/2020;15.8;10.2
30/01/2020;14.1;4.8
31/01/2020;15.6;9.6
01/02/2020;17.5;7.8
02/02/2020;13.9;5.8
03/02/2020;0.0;0.0
04/02/2020;17.8;2.7
05/02/2020;16.5;0.0
06/02/2020;15.0;3.1
07/02/2020;14.8;2.8
08/02/2020;12.3;2.3
09/02/2020;15.1;5.2
10/02/2020;18.0;3.7
11/02/2020;12.0;5.5
12/02/2020;11.8;7.8
13/02/2020;15.0;4.2
14/02/2020;13.8;2.7
15/02/2020;17.6;1.9
16/02/2020;19.3;1.7
17/02/2020;16.2;3.3
18/02/2020;14.4;3.9
19/02/2020;17.0;0.2
20/02/2020;18.1;-1.9
21/02/2020;21.6;-0.9
22/02/2020;21.8;-2.5
23/02/2020;22.4;-1.5
24/02/2020;21.8;-0.5
25/02/2020;19.2;1.1
26/02/2020;16.9;3.9
27/02/2020;19.1;0.3
28/02/2020;20.8;1.9
29/02/2020;16.0;5.4
01/03/2020;16.0;8.4
02/03/2020;14.9;4.3
03/03/2020;14.5;3.7
04/03/2020;18.9;10.3
05/03/2020;16.2;7.9
06/03/2020;13.9;2.1
07/03/2020;16.9;-1.0
08/03/2020;18.2;-0.3
09/03/2020;19.4;4.4
10/03/2020;23.8;2.4
11/03/2020;26.8;5.9
12/03/2020;26.8;5.6
13/03/2020;24.0;8.1
14/03/2020;23.4;7.5
15/03/2020;20.5;6.7
16/03/2020;11.4;1.9
17/03/2020;0.0;0.0
18/03/2020;17.2;5.9
19/03/2020;16.7;7.1
20/03/2020;14.7;7.8
21/03/2020;11.2;6.0
22/03/2020;15.1;1.6
23/03/2020;15.1;8.3
24/03/2020;15.3;8.3
25/03/2020;17.7;3.2
26/03/2020;17.3;0.4
27/03/2020;10.8;1.9
28/03/2020;17.0;-0.4
29/03/2020;19.8;2.1
30/03/2020;10.9;2.2
31/03/2020;12.9;2.4
01/04/2020;15.4;3.2
02/04/2020;17.2;1.0
03/04/2020;18.2;3.0
04/04/2020;19.4;4.0
05/04/2020;22.2;8.5
06/04/2020;20.1;11.7
07/04/2020;19.1;11.0
08/04/2020;22.9;8.3
09/04/2020;17.7;10.5
10/04/2020;16.5;11.2
11/04/2020;20.3;9.2
12/04/2020;21.1;8.8
13/04/2020;20.0;8.3
14/04/2020;20.2;10.5
15/04/2020;18.0;9.6
16/04/2020;20.9;10.1
17/04/2020;20.6;9.1
18/04/2020;21.5;8.5
19/04/2020;19.3;8.9
20/04/2020;18.5;4.8
21/04/2020;15.7;8.1
22/04/2020;21.3;7.0
23/04/2020;20.4;9.8
24/04/2020;22.8;10.2
25/04/2020;23.5;8.0
26/04/2020;20.6;10.8
27/04/2020;17.5;7.4
28/04/2020;19.1;5.6
29/04/2020;21.4;4.9
30/04/2020;20.7;10.8
01/05/2020;23.2;10.7
02/05/2020;27.9;9.2
03/05/2020;31.3;9.8
04/05/2020;32.8;14.0
05/05/2020;26.1;8.1
06/05/2020;26.6;7.0
07/05/2020;28.0;11.2
08/05/2020;29.8;14.6
09/05/2020;25.4;11.7
10/05/2020;19.5;10.6
11/05/2020;20.5;9.1
12/05/2020;15.9;8.6
13/05/2020;20.1;10.1
14/05/2020;16.7;9.2
15/05/2020;17.3;8.6
16/05/2020;19.9;11.3
17/05/2020;23.4;9.4
18/05/2020;28.5;7.2
19/05/2020;29.4;8.8
20/05/2020;31.6;10.4
21/05/2020;32.3;10.5
22/05/2020;33.7;13.1
23/05/2020;33.9;15.5
24/05/2020;33.4;16.2
25/05/2020;29.7;16.6
26/05/2020;28.3;14.5
27/05/2020;30.5;13.6
28/05/2020;29.2;14.1
29/05/2020;32.0;13.4
30/05/2020;33.3;15.9
31/05/2020;32.7;15.9
01/06/2020;29.8;14.5
02/06/2020;31.7;14.8
03/06/2020;29.7;11.8
04/06/2020;25.5;12.6
05/06/2020;29.1;8.2
06/06/2020;29.3;13.5
07/06/2020;26.4;13.7
08/06/2020;24.7;11.2
09/06/2020;25.3;8.9
10/06/2020;27.5;9.6
11/06/2020;26.3;11.3
12/06/2020;22.2;10.1
13/06/2020;24.4;9.7
14/06/2020;26.9;9.1
15/06/2020;28.9;9.7
16/06/2020;27.5;11.5
17/06/2020;27.3;11.4
18/06/2020;29.4;10.2
19/06/2020;31.5;13.5
20/06/2020;33.1;11.8
21/06/2020;35.0;13.0
22/06/2020;36.6;15.6
23/06/2020;37.7;19.7
24/06/2020;34.9;22.0
25/06/2020;35.9;20.6
26/06/2020;32.3;16.8
27/06/2020;32.1;13.5
28/06/2020;35.2;15.9
29/06/2020;37.0;16.8
30/06/2020;38.4;18.7
01/07/2020;34.4;17.6
02/07/2020;33.4;16.3
03/07/2020;33.3;16.1
04/07/2020;35.5;15.4
05/07/2020;37.2;16.5
06/07/2020;38.2;16.6
07/07/2020;39.2;20.3
08/07/2020;36.6;21.5
09/07/2020;35.2;18.3
10/07/2020;34.4;16.8
11/07/2020;37.9;21.1
12/07/2020;36.0;20.4
13/07/2020;35.2;17.2
14/07/2020;34.9;19.9
15/07/2020;34.3;16.6
16/07/2020;35.9;17.7
17/07/2020;36.5;17.9
18/07/2020;37.1;15.8
19/07/2020;38.0;16.5
20/07/2020;37.7;16.4
21/07/2020;36.1;21.2
22/07/2020;35.0;18.5
23/07/2020;36.7;18.4
24/07/2020;37.6;19.3
25/07/2020;37.9;18.3
26/07/2020;40.1;17.7
27/07/2020;41.3;22.7
28/07/2020;37.6;22.2
29/07/2020;39.7;22.6
30/07/2020;40.4;22.9
31/07/2020;0.0;0.0
01/08/2020;38.6;17.6
02/08/2020;37.0;16.8
03/08/2020;34.0;19.7
04/08/2020;34.3;18.2
05/08/2020;37.1;17.1
06/08/2020;39.4;22.9
07/08/2020;40.6;22.8
08/08/2020;37.8;22.8
09/08/2020;39.6;20.6
10/08/2020;34.0;22.2
11/08/2020;27.2;15.9
12/08/2020;29.3;14.8
13/08/2020;31.2;14.3
14/08/2020;33.7;16.0
15/08/2020;30.7;14.3
16/08/2020;28.9;11.6
17/08/2020;29.7;14.3
18/08/2020;32.0;15.8
19/08/2020;34.5;16.2
20/08/2020;36.4;15.4
21/08/2020;34.1;16.0
22/08/2020;34.4;16.5
23/08/2020;35.0;13.7
24/08/2020;35.3;16.6
25/08/2020;37.3;19.6
26/08/2020;38.2;17.9
27/08/2020;37.7;15.2
28/08/2020;33.8;16.8
29/08/2020;26.0;13.3
30/08/2020;25.6;7.9
31/08/2020;27.7;7.7
01/09/2020;29.3;11.1
02/09/2020;30.8;10.1
03/09/2020;32.8;11.9
04/09/2020;33.3;14.9
05/09/2020;35.0;14.5
06/09/2020;34.8;15.1
07/09/2020;29.1;15.1
08/09/2020;27.9;11.0
09/09/2020;30.1;13.3
10/09/2020;31.9;12.1
